Use Case,Requirement,Requirement2,Requirement3,Capability,Features ,ID,Importance,products,values,sum,count
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Luxand Cloud,4,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Ondato Age Verification,4,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,KnowYourX Ultimate Verification Platform,0,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Checkin.com Identity Document Scanning & Face Matching,0,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,SkyBiometry Facial Recognition API,4,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,ClearDil Identity Verification,4,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Neurotechnology Face Verification,4,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Aware PreFace,4,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Alchera Face Trust,0,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Bandio Age Band,4,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Daon xProof,4,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Verisoul Face Match,0,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Ondato Reusable Age Verification,4,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,ClearDil Biometric Verification,4,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Luxand Age-O-Meter,4,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,AU10TIX Biometric Identity Verification System,0,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Facephi Onboarding,0,6,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Veratad IDMatch,0,4,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Outdid Private Verification,0,4,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Verifai Identity Verification Platform,0,4,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,AVSecure AgePass,0,4,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Facephi Authentication,0,3,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Techsign Biometric signature & forensic tool,0,3,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,AgeVerify Age Verification,0,3,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,IDMERIT IDMkyx,0,2,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,1Kosmos BlockID Platform,0,0,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Ayonix AIBOX,0,0,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Techsign FIDO Biometric Authentication,0,0,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Techsign Smart ID Card Verification,0,0,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Techsign DOC,0,0,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Faceter App,0,0,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Veridas Face Authentication,0,0,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Persona Verifications,3,59,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Jumio ID Verification,0,48,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,AU10TIX Platform,0,46,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Sumsub User Verification,3,48,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Caf Identity Verification - KYC,0,40,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,VerifyMy VerifyMyAge Platform,0,32,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,BlueCheck Age Verification for E-Commerce,0,28,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Opale.io Solution,0,26,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Luciditi Digital Identity Platform,0,24,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Veriff Age Estimation,0,22,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,ComplyCube Identity Verification Platform,0,22,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Kids Web Services Parent Verification,0,21,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,HyperVerge One,0,20,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,ComplyCube Identity Assurance,0,20,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Facephi Identity Platform,0,19,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,VouchedRx,0,18,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,VerifyMy VerifyMyContent,0,18,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,VouchedFi,0,18,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,VouchedAuto,0,18,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Jumio Platform,0,17,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,3DiVi Face SDK & API,0,16,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Luxand FaceSDK,0,16,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Paravision Age Estimation,0,16,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Checkin.com Face Recognition,0,16,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,AGEify Application,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Kairos Digital Identity Verification,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Unissey Facial Biometrics,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Melissa Identity Verification,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,HyperVerge Face Authentication,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Gulf Data International IdentifyME,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Amazon Rekognition,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Innovative Technology MyCheckr,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,SCSoft Face Verification,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Enface Platform,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,KYCAID Verification Platform,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Betaface Face Detection and Recognition SDK & API,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Trust Stamp Age Estimation,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Didit Identity Verification,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Trust Stamp Age Verification,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,UltraPass Identity Ultra Pass ID,0,11,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,1Kosmos BlockID Customer,0,11,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,MSLA-ID Identity Verification,0,11,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Deep Labs DeepDecision,0,9,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Rank One Computing ROC SDK,0,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Luxand Cloud,0,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Ondato Age Verification,0,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,KnowYourX Ultimate Verification Platform,0,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Checkin.com Identity Document Scanning & Face Matching,0,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,SkyBiometry Facial Recognition API,0,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,ClearDil Identity Verification,0,8,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,,0,Bot Detection,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",2,3,Neurotechnology Face Verification,0,8,32
